TableID,Level,LevelAsInt,Rating
"sparmshougakkou","Ude0",0,11.5
"sparmshougakkou","Ude1",1,13.1
"sparmshougakkou","Ude10",10,27.5
"sparmshougakkou","Ude11",11,29.1
"sparmshougakkou","Ude12",12,30.700000000000003
"sparmshougakkou","Ude2",2,14.7
"sparmshougakkou","Ude3",3,16.3
"sparmshougakkou","Ude4",4,17.9
"sparmshougakkou","Ude5",5,19.5
"sparmshougakkou","Ude6",6,21.1
"sparmshougakkou","Ude7",7,22.700000000000003
"sparmshougakkou","Ude8",8,24.3
"sparmshougakkou","Ude9",9,25.9
"sparmshougakkou","subUde0",0,11.5
"sparmshougakkou","subUde1",1,13.1
"sparmshougakkou","subUde10",10,27.5
"sparmshougakkou","subUde11",11,29.1
"sparmshougakkou","subUde12",12,30.700000000000003
"sparmshougakkou","subUde2",2,14.7
"sparmshougakkou","subUde3",3,16.3
"sparmshougakkou","subUde4",4,17.9
"sparmshougakkou","subUde5",5,19.5
"sparmshougakkou","subUde6",6,21.1
"sparmshougakkou","subUde7",7,22.700000000000003
"sparmshougakkou","subUde8",8,24.3
"sparmshougakkou","subUde9",9,25.9
"spdystopia","0",0,35.5
"spdystopia","1",1,36
"spdystopia","10",10,40.5
"spdystopia","2",2,36.5
"spdystopia","3",3,37
"spdystopia","4",4,37.5
"spdystopia","5",5,38
"spdystopia","6",6,38.5
"spdystopia","7",7,39
"spdystopia","8",8,39.5
"spdystopia","9",9,40
# baka
"spdystopia","？",-1,-1
"spgachimijoy","0",0,31.5
"spgachimijoy","1",1,32.5
"spgachimijoy","2",2,33.5
"spgachimijoy","3",3,34.5
"spgachimijoy","4",4,35.5
"spgachimijoy","5",5,36.5
"spgachimijoy","6",6,37.5
"spgachimijoy","7",7,38.5
"spgachimijoy","?",-1,-1
"spinsane","1",1,12.5
"spinsane","10",10,21.5
"spinsane","11",11,22.5
"spinsane","12",12,23.5
"spinsane","13",13,24.5
"spinsane","14",14,25.5
"spinsane","15",15,26.5
"spinsane","16",16,27.5
"spinsane","17",17,28.5
"spinsane","18",18,29.5
"spinsane","19",19,30.5
"spinsane","2",2,13.5
"spinsane","20",20,31.5
"spinsane","21",21,32.5
"spinsane","22",22,33.5
"spinsane","23",23,34.5
"spinsane","24",24,35.5
"spinsane","25",25,36.5
"spinsane","3",3,14.5
"spinsane","4",4,15.5
"spinsane","5",5,16.5
"spinsane","6",6,17.5
"spinsane","7",7,18.5
"spinsane","8",8,19.5
"spinsane","9",9,20.5
# baka
"spinsane","???",-1,-1
"spinsanetwo","0",0,11.5
# baka
"spinsanetwo","0-",0,0
"spinsanetwo","1",1,12.5
"spinsanetwo","10",10,21.5
"spinsanetwo","11",11,22.5
"spinsanetwo","12",12,23.5
"spinsanetwo","13",13,24.5
"spinsanetwo","14",14,25.5
"spinsanetwo","15",15,26.5
"spinsanetwo","16",16,27.5
"spinsanetwo","17",17,28.5
"spinsanetwo","18",18,29.5
"spinsanetwo","19",19,30.5
"spinsanetwo","2",2,13.5
"spinsanetwo","20",20,31.5
"spinsanetwo","21",21,32.5
"spinsanetwo","22",22,33.5
"spinsanetwo","23",23,34.5
"spinsanetwo","24",24,35.5
"spinsanetwo","3",3,14.5
"spinsanetwo","4",4,15.5
"spinsanetwo","5",5,16.5
"spinsanetwo","6",6,17.5
"spinsanetwo","7",7,18.5
"spinsanetwo","8",8,19.5
"spinsanetwo","9",9,20.5
# baka
"spinsanetwo","?",-1,-1
"spln","1",1,12.4
"spln","10",10,20.5
"spln","11",11,21.4
"spln","12",12,22.3
"spln","13",13,23.200000000000003
"spln","14",14,24.1
"spln","15",15,25
"spln","16",16,25.9
"spln","17",17,26.8
"spln","18",18,27.7
"spln","19",19,28.6
"spln","2",2,13.3
"spln","20",20,29.5
"spln","21",21,30.400000000000002
"spln","22",22,31.3
"spln","23",23,32.2
"spln","24",24,33.1
"spln","25",25,34
"spln","26",26,34.900000000000006
"spln","3",3,14.2
"spln","4",4,15.1
"spln","5",5,16
"spln","6",6,16.9
"spln","7",7,17.8
"spln","8",8,18.7
"spln","9",9,19.6
"spluminous","1",1,12.4
"spluminous","10",10,20.5
"spluminous","11",11,21.4
"spluminous","12",12,22.3
"spluminous","13",13,23.200000000000003
"spluminous","14",14,24.1
"spluminous","15",15,25
"spluminous","16",16,25.9
"spluminous","17",17,26.8
"spluminous","18",18,27.7
"spluminous","19",19,28.6
"spluminous","2",2,13.3
"spluminous","20",20,29.5
"spluminous","21",21,30.400000000000002
"spluminous","22",22,31.3
"spluminous","23",23,32.2
"spluminous","24",24,33.1
"spluminous","25",25,34
"spluminous","26",26,34.900000000000006
"spluminous","27",27,35.8
"spluminous","3",3,14.2
"spluminous","4",4,15.1
"spluminous","5",5,16
"spluminous","6",6,16.9
"spluminous","7",7,17.8
"spluminous","8",8,18.7
"spluminous","9",9,19.6
"spnormal","1",1,1.5
"spnormal","10",10,10.5
"spnormal","11",11,11.5
"spnormal","12",12,12.5
"spnormal","13",13,13.5
"spnormal","2",2,2.5
"spnormal","3",3,3.5
"spnormal","4",4,4.5
"spnormal","5",5,5.5
"spnormal","6",6,6.5
"spnormal","7",7,7.5
"spnormal","8",8,8.5
"spnormal","9",9,9.5
# baka
"spnormal","X",-1,-1
"spnormaltwo","1",1,1.5
"spnormaltwo","10",10,10.5
"spnormaltwo","11",11,11.5
# baka
"spnormaltwo","11+",12,12
"spnormaltwo","12",12,12.5
# baka
"spnormaltwo","12+",12,12
# baka
"spnormaltwo","12-",12,12
"spnormaltwo","2",2,2.5
"spnormaltwo","3",3,3.5
"spnormaltwo","4",4,4.5
"spnormaltwo","5",5,5.5
"spnormaltwo","6",6,6.5
"spnormaltwo","7",7,7.5
"spnormaltwo","8",8,8.5
"spnormaltwo","9",9,9.5
# baka
"spnormaltwo","？",-1,-1
"spoverjoy","0",0,31.5
"spoverjoy","1",1,32.5
"spoverjoy","2",2,33.5
"spoverjoy","3",3,34.5
"spoverjoy","4",4,35.5
"spoverjoy","5",5,36.5
"spoverjoy","6",6,37.5
"spoverjoy","7",7,38.5
"spoverjoy","8",8,39.5
"spsatellite","0",0,11.5
"spsatellite","1",1,13.1
"spsatellite","10",10,27.5
"spsatellite","11",11,29.1
"spsatellite","12",12,30.700000000000003
"spsatellite","2",2,14.7
"spsatellite","3",3,16.3
"spsatellite","4",4,17.9
"spsatellite","5",5,19.5
"spsatellite","6",6,21.1
"spsatellite","7",7,22.700000000000003
"spsatellite","8",8,24.3
"spsatellite","9",9,25.9
"spstella","0",0,31.5
"spstella","1",1,32.1
"spstella","10",10,37.5
"spstella","11",11,38.1
"spstella","12",12,38.7
"spstella","2",2,32.7
"spstella","3",3,33.3
"spstella","4",4,33.9
